Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Fast Charging,Refresh Rate,5G,Price
Samsung Galaxy A16 8 GB RAM 256 GB,6.7,Super AMOLED,385.0,5000,50,6,Android,8,256,1.0,90.0,0,11500
Samsung Galaxy A15 8 GB RAM 256 GB,6.5,Super AMOLED,396.0,5000,50,6,Android,8,256,1.0,90.0,0,12299
Samsung Galaxy M15 5G 4 GB RAM 128 GB,6.5,Super AMOLED,396.0,6000,50,6,Android,4,128,1.0,90.0,1,10499
realme C75 8 GB RAM 256 GB,6.72,IPS LCD,392.0,5828,50,12,Android,8,256,1.0,90.0,0,9499
Vivo Y29 8 GB RAM 256 GB,6.68,IPS LCD,264.0,6500,50,6,Android,8,256,1.0,120.0,0,13564
Redmi Note 12 8 GB RAM 128 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,128,1.0,120.0,0,8981
realme 11 4G 8 GB RAM 128 GB,6.4,Super AMOLED,411.0,5000,108,6,Android,8,128,1.0,90.0,0,9505
Infinix Hot 40 Pro 8 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,108,6,Android,8,128,1.0,120.0,0,12739
Tecno Spark 30 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,64,12,Android,8,256,1.0,90.0,0,8505
Samsung Galaxy A24 6 GB RAM 128 GB,6.5,Super AMOLED,396.0,5000,50,6,Android,6,128,1.0,90.0,0,11903
Huawei Nova 12 SE 8 GB RAM 256 GB,6.67,OLED,395.0,4500,108,6,Android,8,256,1.0,90.0,0,16999
Redmi Note 12 6 GB RAM 128 GB,6.67,AMOLED,395.0,5000,50,6,Android,6,128,1.0,120.0,0,9816
realme 12 Lite 8 GB RAM 256 GB,6.72,IPS LCD,392.0,5000,108,6,Android,8,256,1.0,90.0,0,8499
realme C75 8 GB RAM 128 GB,6.72,IPS LCD,392.0,5828,50,12,Android,8,128,1.0,90.0,0,8109
Samsung Galaxy M14 5G 4 GB RAM 128 GB,6.6,PLS,400.0,6000,50,5,Android,4,128,1.0,90.0,1,11717
Vivo Y36 8 GB RAM 256 GB,6.64,IPS LCD,395.0,5000,50,6,Android,8,256,1.0,90.0,0,10300
Samsung Galaxy A16 6 GB RAM 128 GB,6.7,Super AMOLED,385.0,5000,50,6,Android,6,128,1.0,90.0,0,8499
Samsung Galaxy A15 6 GB RAM 128 GB,6.5,Super AMOLED,396.0,5000,50,6,Android,6,128,1.0,90.0,0,11000
Omix X7 8 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,50,6,Android,8,128,1.0,120.0,0,8155
Infinix Hot 30 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,50,12,Android,8,256,1.0,90.0,0,7867
Vivo Y28 8 GB RAM 256 GB,6.68,IPS LCD,264.0,6000,50,12,Android,8,256,1.0,90.0,0,9118
Casper VIA A40 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,64,6,Android,8,256,1.0,120.0,0,7566
Redmi 13 8 GB RAM 256 GB,6.79,IPS LCD,396.0,5030,108,12,Android,8,256,1.0,90.0,0,8499
Tecno Spark 30 8 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,64,12,Android,8,128,1.0,90.0,0,7680
Samsung Galaxy A16 4 GB RAM 128 GB,6.7,Super AMOLED,385.0,5000,50,6,Android,4,128,1.0,90.0,0,7998
Samsung Galaxy A15 4 GB RAM 128 GB,6.5,Super AMOLED,396.0,5000,50,6,Android,4,128,1.0,90.0,0,7989
Oppo A60 8 GB RAM 256 GB,6.67,IPS LCD,264.0,5000,50,6,Android,8,256,1.0,90.0,0,9099
Tecno Spark 20 8 GB RAM 256 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,256,1.0,90.0,0,7526
Huawei Nova Y91 8 GB RAM 128 GB,6.95,IPS LCD,376.0,7000,50,6,Android,8,128,1.0,90.0,0,19999
Tecno Spark 10 Pro 8 GB RAM 256 GB,6.8,IPS LCD,395.0,5000,50,12,Android,8,256,1.0,90.0,0,8133
Vivo Y36 8 GB RAM 128 GB,6.64,IPS LCD,395.0,5000,50,6,Android,8,128,1.0,90.0,0,9599
Redmi 12 8 GB RAM 256 GB,6.79,IPS LCD,396.0,5000,50,12,Android,8,256,1.0,90.0,0,7395
realme 12 Lite 6 GB RAM 128 GB,6.72,IPS LCD,392.0,5000,108,6,Android,6,128,1.0,90.0,0,6859
Vivo Y28 8 GB RAM 128 GB,6.68,IPS LCD,264.0,6000,50,12,Android,8,128,1.0,90.0,0,7294
Tecno Spark 30C 8 GB RAM 256 GB,6.67,IPS LCD,263.0,5000,48,12,Android,8,256,1.0,120.0,0,7049
Nubia Neo 5G 8 GB RAM 256 GB,6.6,IPS LCD,400.0,4500,50,6,Android,8,256,1.0,120.0,1,11199
realme C55 8 GB RAM 256 GB,6.72,IPS LCD,392.0,5000,64,12,Android,8,256,1.0,90.0,0,9449
Samsung Galaxy M14 5G 4 GB RAM 64 GB,6.6,PLS,400.0,6000,50,5,Android,4,64,1.0,90.0,1,12089
Oppo A60 8 GB RAM 128 GB,6.67,IPS LCD,264.0,5000,50,6,Android,8,128,1.0,90.0,0,9216
Tecno Spark 20 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,128,1.0,90.0,0,7258
Tecno Spark 10 Pro 8 GB RAM 128 GB,6.8,IPS LCD,395.0,5000,50,12,Android,8,128,1.0,90.0,0,8167
Redmi 12 8 GB RAM 128 GB,6.79,IPS LCD,396.0,5000,50,12,Android,8,128,1.0,90.0,0,7399
Infinix Hot 30 4 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,50,12,Android,4,128,1.0,90.0,0,5844
Vivo Y19s 8 GB RAM 256 GB,6.68,IPS LCD,264.0,5500,50,12,Android,8,256,1.0,90.0,0,8895
Nubia V50 Design 8 GB RAM 256 GB,6.66,IPS LCD,396.0,5000,50,12,Android,8,256,1.0,60.0,0,7867
Poco C65 8 GB RAM 256 GB,6.74,IPS LCD,260.0,5000,50,12,Android,8,256,1.0,90.0,0,9588
Infinix Hot 50i 6 GB RAM 128 GB,6.7,IPS LCD,262.0,5000,48,12,Android,6,128,1.0,120.0,0,6750
realme C55 6 GB RAM 128 GB,6.72,IPS LCD,392.0,5000,64,12,Android,6,128,1.0,90.0,0,7791
Redmi 12 4 GB RAM 128 GB,6.79,IPS LCD,396.0,5000,50,12,Android,4,128,1.0,90.0,0,6799
realme C63 8 GB RAM 256 GB,6.74,IPS LCD,260.0,5000,50,12,Android,8,256,1.0,90.0,0,8099
Huawei Nova 12i 8 GB RAM 128 GB,6.7,IPS LCD,391.0,5000,108,6,Android,8,128,1.0,90.0,0,11920
realme C65 8 GB RAM 128 GB,6.67,IPS LCD,264.0,5000,50,12,Android,8,128,1.0,90.0,0,7199
Tecno Spark 30C 4 GB RAM 128 GB,6.67,IPS LCD,263.0,5000,48,12,Android,4,128,1.0,120.0,0,5899
Infinix Hot 40i 8 GB RAM 256 GB,6.56,IPS LCD,269.0,5000,50,12,Android,8,256,1.0,90.0,0,7599
Samsung Galaxy A05s 4 GB RAM 128 GB,6.7,PLS,393.0,5000,50,6,Android,4,128,1.0,90.0,0,8799
Redmi 13C 8 GB RAM 256 GB,6.74,IPS LCD,260.0,5000,50,12,Android,8,256,1.0,90.0,0,8111
Vivo Y18 8 GB RAM 256 GB,6.56,IPS LCD,269.0,5000,50,12,Android,8,256,1.0,90.0,0,7529
Wiko T60 8 GB RAM 256 GB,6.58,IPS LCD,401.0,5200,48,12,Android,8,256,0.0,60.0,0,5398
Redmi 14C 8 GB RAM 256 GB,6.88,IPS LCD,260.0,5160,50,12,Android,8,256,1.0,120.0,0,7699
realme C65 6 GB RAM 128 GB,6.67,IPS LCD,264.0,5000,50,12,Android,6,128,1.0,90.0,0,6899
Oppo A3 6 GB RAM 128 GB,6.67,IPS LCD,264.0,5100,50,11,Android,6,128,1.0,90.0,0,7466
realme C61 8 GB RAM 256 GB,6.74,IPS LCD,260.0,5000,50,12,Android,8,256,1.0,90.0,0,7595
Vivo Y27 6 GB RAM 128 GB,6.64,IPS LCD,395.0,5000,50,12,Android,6,128,1.0,60.0,0,6697
realme C53 8 GB RAM 256 GB,6.74,IPS LCD,260.0,5000,50,12,Android,8,256,1.0,90.0,0,7399
Vivo Y19s 4 GB RAM 128 GB,6.68,IPS LCD,264.0,5500,50,12,Android,4,128,1.0,90.0,0,6223
Vivo Y18 8 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,8,128,1.0,90.0,0,6850
realme C63 6 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,50,12,Android,6,128,1.0,90.0,0,6149
Samsung Galaxy A14 4 GB RAM 128 GB,6.6,PLS,400.0,5000,50,8,Android,4,128,1.0,60.0,0,9999
Nubia V50 Vita 6 GB RAM 128 GB,6.75,IPS LCD,260.0,5200,50,12,Android,6,128,1.0,90.0,0,5750
Tecno Spark 20C 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,128,1.0,90.0,0,6699
Redmi 13C 6 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,50,12,Android,6,128,1.0,90.0,0,8099
Tecno Spark 10 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,128,1.0,90.0,0,6540
Oppo A38 6 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,6,128,1.0,90.0,0,7572
Redmi 14C 6 GB RAM 128 GB,6.88,IPS LCD,260.0,5160,50,12,Android,6,128,1.0,120.0,0,6799
Vivo Y04 4 GB RAM 128 GB,6.74,IPS LCD,260.0,5500,13,12,Android,4,128,1.0,90.0,0,6100
Tecno Spark Go 1 4 GB RAM 128 GB,6.67,IPS LCD,263.0,5000,13,12,Android,4,128,1.0,120.0,0,6099
Vivo Y17s 6 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,6,128,1.0,60.0,0,6599
Vivo Y18 4 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,4,128,1.0,90.0,0,6171
realme C61 6 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,50,12,Android,6,128,1.0,90.0,0,6109
Samsung Galaxy A06 4 GB RAM 128 GB,6.7,PLS,262.0,5000,50,12,Android,4,128,1.0,60.0,0,5999
Tecno Spark 10 4 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,4,128,1.0,90.0,0,7199
Vivo Y17s 4 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,4,128,1.0,60.0,0,6500
itel S23 8 GB RAM 256 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,256,0.0,90.0,0,5404
Tecno Spark 10C 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,16,12,Android,8,128,1.0,90.0,0,7128
realme C53 4 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,50,12,Android,4,128,1.0,90.0,0,6999
Samsung Galaxy A14 4 GB RAM 64 GB,6.6,PLS,400.0,5000,50,8,Android,4,64,1.0,60.0,0,7831
Tecno Spark 20C 4 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,4,128,1.0,90.0,0,6299
Infinix Smart 9 4 GB RAM 128 GB,6.7,IPS LCD,262.0,5000,13,12,Android,4,128,0.0,120.0,0,5702
realme Note 60 6 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,32,12,Android,6,128,0.0,90.0,0,6995
Samsung Galaxy A05 4 GB RAM 128 GB,6.7,PLS,262.0,5000,50,12,Android,4,128,1.0,60.0,0,7426
itel S23 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,128,0.0,90.0,0,5399
Infinix Hot 30i 8 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,8,128,0.0,90.0,0,6263
Infinix Smart 8 Pro 8 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,8,128,0.0,90.0,0,7055
realme Note 60 4 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,32,12,Android,4,128,0.0,90.0,0,6199
Infinix Hot 30i 4 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,13,12,Android,4,128,1.0,90.0,0,6500
Omix X5 4 GB RAM 64 GB,6.56,IPS LCD,269.0,5000,50,12,Android,4,64,1.0,90.0,0,5450
realme Note 50 4 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,13,12,Android,4,128,0.0,90.0,0,5889
Infinix Hot 30i 4 GB RAM 128 GB,6.56,IPS LCD,269.0,5000,50,12,Android,4,128,0.0,90.0,0,6500
Infinix Smart 8 Pro 4 GB RAM 128 GB,6.6,IPS LCD,267.0,5000,50,12,Android,4,128,0.0,90.0,0,5830
General Mobile GM 23 4 GB RAM 128 GB,6.52,IPS LCD,269.0,5000,50,12,Android,4,128,0.0,90.0,0,6850
Samsung Galaxy A05 4 GB RAM 64 GB,6.7,PLS,262.0,5000,50,12,Android,4,64,1.0,60.0,0,7162
Redmi 12C 4 GB RAM 128 GB,6.71,IPS LCD,268.0,5000,50,12,Android,4,128,0.0,60.0,0,6997
General Mobile GM 23 SE 4 GB RAM 128 GB,6.5,IPS LCD,270.0,5000,8,12,Android,4,128,0.0,60.0,0,5119
Infinix Hot 30i 4 GB RAM 64 GB,6.56,IPS LCD,269.0,5000,50,12,Android,4,64,0.0,90.0,0,7999
Redmi 12C 4 GB RAM 64 GB,6.71,IPS LCD,268.0,5000,50,12,Android,4,64,0.0,60.0,0,6173
Honor 400 Pro 12 GB RAM 512 GB,6.7,AMOLED,460.0,6000,200,4,Android,12,512,1.0,120.0,1,35998
Honor 400 8 GB RAM 256 GB,6.55,AMOLED,460.0,6000,200,4,Android,8,256,1.0,120.0,1,18999
Honor 400 12 GB RAM 256 GB,6.55,AMOLED,460.0,6000,200,4,Android,12,256,1.0,120.0,1,22999
Samsung Galaxy S25 Edge 12 GB RAM 512 GB,6.7,Dynamic AMOLED,513.0,3900,200,3,Android,12,512,1.0,120.0,1,62075
Samsung Galaxy S25 Edge 12 GB RAM 256 GB,6.7,Dynamic AMOLED,513.0,3900,200,3,Android,12,256,1.0,120.0,1,65999
Tecno Camon 40 12 GB RAM 256 GB,6.78,AMOLED,393.0,5200,50,6,Android,12,256,1.0,120.0,0,19999
Infinix Hot 50 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,50,6,Android,8,256,1.0,120.0,0,12499
Oppo A5 Pro 8 GB RAM 256 GB,6.67,IPS LCD,264.0,5800,50,11,Android,8,256,1.0,90.0,0,15999
Tecno Camon 40 Premier 5G 12 GB RAM 256 GB,6.67,AMOLED,460.0,5100,50,4,Android,12,256,1.0,144.0,1,29998
Tecno Camon 40 8 GB RAM 256 GB,6.78,AMOLED,393.0,5200,50,6,Android,8,256,1.0,120.0,0,15999
Infinix Hot 50 6 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,50,6,Android,6,256,1.0,120.0,0,12499
Hiking A45 8 GB RAM 128 GB,6.79,IPS LCD,264.0,5000,48,12,Android,8,128,,60.0,0,5200
Infinix Hot 50 8 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,50,6,Android,8,128,1.0,120.0,0,9309
General Mobile Era 50 6 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,50,12,Android,6,256,1.0,90.0,0,8463
General Mobile Era 50 6 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,50,12,Android,6,128,1.0,90.0,0,6999
General Mobile Era 30 4 GB RAM 128 GB,6.6,IPS LCD,269.0,5000,50,12,Android,4,128,1.0,90.0,0,5649
Mipo M59 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,64,6,Android,8,256,1.0,120.0,0,6785
Mipo M46 Plus 8 GB RAM 256 GB,6.82,IPS LCD,263.0,5000,48,12,Android,8,256,0.0,60.0,0,6599
Casper VIA M40 6 GB RAM 128 GB,6.53,IPS LCD,269.0,5000,50,12,Android,6,128,,90.0,0,6538
ZTE nubia Focus 5G 6 GB RAM 256 GB,6.56,IPS LCD,269.0,5000,108,6,Android,6,256,1.0,120.0,1,8749
Ovion V20 Pro 8 GB RAM 256 GB,6.7,AMOLED,,5000,64,6,Android,8,256,1.0,120.0,0,9999
Reeder S19 Max Pro S Edge 8 GB RAM 128 GB,6.67,AMOLED,,4500,64,12,Android,8,128,,60.0,0,9999
Casper VIA X40 8 GB RAM 256 GB,6.67,AMOLED,403.0,5000,50,6,Android,8,256,1.0,120.0,0,9995
Infinix Note 12 Pro 4G 8 GB RAM 256 GB,6.7,AMOLED,,5000,108,6,Android,8,256,1.0,,0,11999
Omix X6 6 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,50,12,Android,6,128,1.0,90.0,0,6460
Redmi 13C 5G 4 GB RAM 128 GB,6.74,IPS LCD,260.0,5000,50,6,Android,4,128,1.0,90.0,1,6590
Mipo M33 6 GB RAM 128 GB,6.51,IPS LCD,270.0,4680,48,12,Android,6,128,,60.0,0,7499
Mipo M17 4 GB RAM 128 GB,6.51,IPS LCD,270.0,4000,13,28,Android,4,128,,60.0,0,5879
