Garanti Tipi,Kamera Çözünürlüğü,Dahili Hafıza,Ekran Boyutu,Mobil Bağlantı Hızı,RAM Kapasitesi,Pil Gücü (mAh),Cep Telefonu Modeli,Ön Kamera Çözünürlüğü,Ön Kamera Çözünürlük Aralığı,Arka Kamera Sayısı,Kablosuz Şarj,İşletim Sistemi,Garanti Süresi,Ekran Boyut Aralığı,Yüz Tanıma,Görüntü Teknolojisi,Ekran Teknolojisi,Ekran Cinsi,Ön Kamera Sayısı,Dokunmatik Ekran,Ekran Çözünürlüğü,Çift Hat,Batarya Kapasitesi Aralığı,Ana Kamera Çözünürlük Aralığı,Şarj Hızı,Kulaklık Girişi,Parmak İzi Okuyucu,Ekran Yenileme Hızı,Radio,Şarj Girişi,NFC,Görüntülü Konuşma,Video Kayıt Çözünürlüğü,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Menşei,İşlemci Markası,Bluetooth,Ana Kamera Flaş,Arttırılabilir Hafıza (Hafıza Kartı Desteği),GPS,CPU Aralık,Kozmetik Durum,Uyumlu Marka,Materyal,Ön Kamera Flaş,Tamir Edilebilirlik,Kapasite,Çözünürlük,Bellek Kapasitesi,Bağlantılar,İşlemci Çekirdek Sayısı,İşlemci Tipi,Ram (Sistem Belleği),Görüntüleme Teknolojisi,HDMI,Hızlı Şarj,Sim Kart Uyumu,CE Uygunluk Sembolu,SSD Kapasitesi,Ekran Kartı,Kullanım Amacı,Cihaz Ağırlığı,Şarjlı Kullanım Süresi,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,Hard Disk Kapasitesi,Panel Tipi,Ram (Sistem Belleği) Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Bakım Talimatları (Genel),Ekran Yenilenme Hızı,Tepki Süresi,Curved (Kavisli),Kontrast,Sync Teknolojisi,DVI-I,DVI-D,D-Sub (VGA),HDCP,Mini DisplayPort,DisplayPort,Dahili Hoparlör,Vesa Uyumluluğu,3D Desteği,Type-C,HDMI Giriş Sayısı,Çeşit,Bağlantı Tipi,Uzunluk,Priz Tipi,Frekans,Voltaj,Görüntü Kalitesi,Smart TV,Dahili Uydu Alıcı,Çözünürlük (Piksel),HDR,Wi-Fi Özelliği,Kurulum Gerekli mi?,Model Yılı,Kasa Çapı,Kasa Renk,Kordon Renk,Adımsayar,Nabız Sensörü,Titreşim,Uyku Takibi,Sesli Görüşme,Aktif Gürültü Önleme (ANC),Mikrofon,Dış Materyal,Bağlama Şekli,Taban Materyali,Saya Materyali,Topuk Boyu,İç Taban Materyali,Astar Materyali,Topuk Tipi,Desen,Kumaş Tipi,Ek Özellik,Sürdürülebilirlik Detayı,Ortam,Ürün Türü
Oppo Türkiye Garantili,50 MP,512 GB,6 inç ve üstü,5G,12 GB,5000 ve üstü,Oppo Reno 10x Zoom,8 MP,40 - 60 MP,,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,FHD Süper AMOLED,1,Var,FHD+,Var,5000-6000 mAh,60 - 80 MP,80-100 W,,Var,120 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Mor,Yok,TR,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,67 inç",4G,8 GB,5000,Oppo Reno 10x Zoom,32 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Var,Gri,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,67 inç",4G,8 GB,5000,Oppo Reno 10x Zoom,32 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Var,Gri,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,108 MP + 5 MP + 12 MP + 2 MP,128 GB,"6,43 inç",4.5G,8 GB,5000,Realme C11,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6'' - 6.5'',Yok,LCD,,LCD,1,Var,HD+,Var,4500-5000 mAh,100 -120 MP,10-20 W,3.5 mm,Yok,60 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,67 inç",,8 GB,5000,,,,,,Android,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,50 MP,128 GB,"6,7 inç",4G,6 GB,5000,Realme C63,8 MP,60 - 80 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,HD,LCD,1,Var,HD,Var,4500-5000 mAh,40 - 60 MP,40-60 W,3.5 mm,Var,90 Hz,,Lightning,Var,,720p (HD),Var,Siyah,Yok,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,,5G,8 GB,5000,,,15 - 20 MP,3,,Android,2 Yıl,,,,,,1,,,Var,,,,USB Type-C,,,,USB Type-C,Var,,,Var,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,,5G,8 GB,5000,,,15 - 20 MP,3,,Android,2 Yıl,,,,,,1,,,Var,,,,USB Type-C,,,,USB Type-C,Var,,,Var,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,50 MP,256 GB,"6,7 inç",4.5G,8 GB,5000,,5 MP,5 - 10 MP,3,Yok,Android,2 Yıl,,Var,LCD,,IPS LCD,Yok,Yok,FHD+,Var,5000-6000 mAh,,10-20 W,3.5 mm,Var,90 Hz,,USB Type-C,Yok,,,Var,Yeşil,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,13 MP,128 GB,"6,7 inç",5G,4 GB,5000 ve üstü,Realme C63,5 MP,5 MP ve altı,3,Yok,Android,2 Yıl,6.5'' - 7'',Yok,LCD,,LCD,1,Var,HD+,Yok,4500-5000 mAh,10 - 15 MP,10-20 W,USB Type-C,Yok,60 Hz,,USB Type-C,Yok,,,Var,Mavi,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Realme C53,,,,,,,,,,,,,,,,,,,,,,,,,,,,Çok Renkli,,TR,,,,,,,,Realme Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,64 MP + 12 MP + 5 MP + 5 MP,128 GB,6 - 8 inç,4.5G,6 GB,5000 ve üstü,Realme C55,5 - 8 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,FHD+,Yok,4500-5000 mAh,60 - 80 MP,10-20 W,USB Type-C,Var,90 Hz,,USB Type-C,Var,,1080p (Full HD),Yok,Altın,Yok,,,,Var,Yok,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,50 MP + 5 MP + 2 MP,256 GB,"6,7 inç",5G,8 GB,5000,,,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Yok,,FHD+,,1,Var,FHD+,Var,4500-5000 mAh,100 -120 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,50 MP + 5 MP + 2 MP,256 GB,"6,7 inç",5G,8 GB,5000,,,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Yok,,FHD+,,1,Var,FHD+,Var,4500-5000 mAh,100 -120 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Türkiye Garantili,5 - 10 MP,128 GB,6 inç ve üstü,4G,4 GB,5000,,8 - 14 MP,5 - 10 MP,1,Yok,Android,2 Yıl,6'' - 6.5'',Var,LCD,FHD+,IPS LCD,1,Var,HD+,Var,3500-4000 mAh,5 - 10 MP,20-40 W,USB Type-C,Var,90 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,128 GB,"6,7 inç",4.5G,6 GB,5000,Samsung Galaxy A10,10 MP,10 - 15 MP,1,Yok,Android,2 Yıl,6.5'' - 7'',,AMOLED,FHD+,,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,,3.5 mm,Var,120 Hz,,USB Type-C,Var,,,Var,Gri,Yok,TR,,,Var,Var,,,,,,Yok,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,200 MP + 8 MP + 2 MP,256 GB,"6,8 inç",5G,12 GB,5000,Samsung Galaxy S24 Ultra,10 - 20 MP,10 - 15 MP,5,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,QHD+,Var,5000-6000 mAh,120 MP ve üstü,40-60 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,4320p (Ultra HD) 8K,Var,Gri,Var,VN,,,Var,Yok,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP + 12 MP + 10 MP,256 GB,"6,2 inç",5G,8 GB,4000 - 5000,,12 MP,10 - 15 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,4320p (Ultra HD) 8K,Yok,Gri,Var,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,256 GB,"6,6 inç",5G,8 GB,5000,,13 MP,10 - 15 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,Super AMOLED,1,Var,FHD+,Var,5000-6000 mAh,15 - 20 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Mavi,Yok,TR,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,256 GB,"6,6 inç",5G,8 GB,5000,Xiomi Redmi Note 12,32 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,Super AMOLED,1,Var,FHD+,Var,5000-6000 mAh,20 - 40 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Mavi,Yok,TR,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Samsung Galaxy A55,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pembe,,CN,,,,,,,,Samsung Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP + 12 MP + 10 MP,256 GB,"6,2 inç",5G,8 GB,4000 - 5000,,12 MP,10 - 15 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,4320p (Ultra HD) 8K,Yok,Gri,Var,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,,,,,,,,,,,,,1 Yıl,,,,,,,,,,,,,,,,,,,,,,Beyaz,,CN,,,,,,,,,,,Tamir Edilmez.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,Samsung Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,128 GB,"6,6 inç",5G,8 GB,5000,,13 MP,10 - 15 MP,3,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,Super AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Çok Renkli,Yok,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,512 GB,7 - 10 inç,5G,12 GB,4400,,5 -10 MP,5 - 10 MP,3,Var,Android,2 Yıl,7'' Üstü,Var,AMOLED,Dinamik AMOLED,AMOLED,2,Var,FHD+,Var,4000-4500 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Var,Krem,Yok,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,7 inç",5G,8 GB,4000 - 5000,Samsung Galaxy S24 FE,10 - 20 MP,10 - 15 MP,3,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,10 - 15 MP,10-20 W,,Var,60 Hz,,USB Type-C,Var,,,Var,Gri,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,128 GB,"6,5 inç",4.5G,6 GB,5000,Samsung Galaxy A25,10 - 20 MP,15 - 20 MP,1,Yok,Android,2 Yıl,7'' Üstü,Var,AMOLED,Dinamik AMOLED,Super AMOLED,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,20-40 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Siyah,Yok,,,,Var,Yok,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,128 GB,"6,7 inç",4.5G,6 GB,5000,Samsung Galaxy A10,10 MP,10 - 15 MP,1,Yok,Android,2 Yıl,6.5'' - 7'',,AMOLED,FHD+,,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,,3.5 mm,Var,120 Hz,,USB Type-C,Var,,,Var,Siyah,Yok,TR,,,Var,Var,,,,,,Yok,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,64 GB,6 - 8 inç,4.5G,4 GB,5000,Samsung Galaxy A14,13 MP,10 - 15 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,FHD+,PLS,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,256 GB,6 inç ve üstü,4.5G,8 GB,4500,Samsung Galaxy S23,8 MP ve üstü,10 - 15 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Yok,Krem,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,256 GB,6 inç ve üstü,4.5G,8 GB,4500,Samsung Galaxy S23,8 MP ve üstü,10 - 15 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Yok,Krem,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,48MP + 8MP + 5MP + 2MP,128 GB,"6,6 inç",4.5G,8 GB,5000,Samsung Galaxy A34,13 MP,15 - 20 MP,1,Var,Android,2 Yıl,7'' Üstü,Var,AMOLED,Dinamik AMOLED,Super AMOLED,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Yeşil,Yok,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,200 MP + 8 MP + 2 MP,256 GB,"6,8 inç",4.5G,12 GB,5000,Samsung Galaxy S23,12 MP,10 - 15 MP,4,Var,Android,2 Yıl,6.5'' - 7'',Var,,,AMOLED,1,Var,,Var,5000-6000 mAh,120 MP ve üstü,,USB Type-C,Var,,,USB Type-C,Var,Var,,Yok,Yeşil,,,Samsung,Var,Var,Var,Var,,,,,,"Tamir Edilebilir, Satıcı ile İletişime Geçiniz.",,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP + 12 MP + 5 MP,256 GB,"6,4 inç",5G,8 GB,5000,Samsung Galaxy A54,32 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,FHD+,Full HD,1,Var,FHD+,Var,5000-6000 mAh,20 - 40 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Yok,Yeşil,Yok,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,512 GB,7 - 10 inç,5G,12 GB,4400,,5 -10 MP,5 - 10 MP,3,Var,Android,2 Yıl,7'' Üstü,Var,AMOLED,Dinamik AMOLED,AMOLED,2,Var,FHD+,Var,4000-4500 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Var,Krem,Yok,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,10 - 15 MP,256 GB,6 - 8 inç,5G,8 GB,3700,,5 -10 MP,5 - 10 MP,2,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,10 - 15 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Var,Mor,Yok,,,,Var,Yok,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,128 GB,"6,7 inç",4G,4 GB,5000,Samsung Galaxy A5,10 - 20 MP,10 - 15 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,FHD+,PLS,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,90 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Mor,Yok,TR,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,5 - 10 MP,,10.9 inç,,,,,,,,,Android,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Çok Renkli,,TR,,Var,,,,,,,,,,128 GB,2304 x 1440,16 GB ve üstü,Lightning,2,Exynos,6 GB,LCD,Yok,Yok,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,20 MP ve üstü,256 GB,6 inç ve üstü,4.5G,8 GB,4500,Samsung Galaxy S23,8 MP ve üstü,10 - 15 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,20-40 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Yok,Krem,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lenovo Vibe P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,TR,,,,,,,,Lenovo Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,2800 ve üstü,,,,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL Türkiye Garantili,5 MP ve altı,64 GB,"4 - 4,5 inç",4.5G,4 GB,1500 ve altı,,10 - 20 MP,5 - 10 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,LCD,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,3.5 mm,Var,60 Hz,,USB Type-C,Var,,,Yok,Mavi,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,,,"55"" / 139 Ekran",,,,,,,,,Tizen,2 Yıl,,,,,,,,,,,,,,,50 Hz,,,,,,,Siyah,,TR,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K Ultra HD,Var,Var,3840 x 2160,Var,Var,Evet,2023,,,,,,,,,,,,,,,,,,,,,,,,
Üretici Garantili,50 MP + 5 MP + 2 MP,256 GB,"6,4 inç",5G,12 GB,5000,,10 - 20 MP,120 MP ve üstü,3,Yok,Android,2 Yıl,4.5'' - 5'',Yok,AMOLED,,AMOLED,1,Var,FHD+,Var,2000-3000 mAh,10 - 15 MP,40-60 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
